diffNuisances run on fitDiagnostics_BoostedAnalysis_mu0.root, at 2021-02-05 13:03:10.141073 with the following options ... {'absolute_values': False, 'show_all_parameters': True, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': 'plots_BoostedAnalysis_mu0.root', 'skipFitB': False, 'sortBy': 'impact', 'vtol2': 2.0, 'poi': 'r', 'skipFitS': False}

name                                              b-only fit            s+b fit         rho  approx impact
CMS_ttHbb_HDAMP_ttbarPlusBBbar                   +0.00, 0.90     * +0.00, 0.95*       +0.33      +0.772
CMS_scaleFlavorQCD_j                             +0.00, 0.73     * -0.00, 0.76*     *-0.27*      -0.506
CMS_effTop                                       +0.00, 0.85     * +0.00, 0.88*     *-0.23*      -0.504
CMS_btag_hf                                      +0.00, 0.44     ! +0.00, 0.47!     !+0.35!      +0.403
CMS_ttHbb_FSR_ttbarPlusBBbar                     +0.00, 0.78     * -0.00, 0.80*     *+0.20*      +0.395
CMS_ttHbb_ISR_ttbarPlusBBbar                     +0.00, 0.95        -0.00, 0.96       +0.16      +0.367
CMS_btag_lf                                      +0.00, 0.76     * -0.00, 0.78*     *-0.16*      -0.317
CMS_effHiggs                                     +0.00, 0.91        -0.00, 0.92       -0.14      -0.316
CMS_ttHbb_scaleMuR                               +0.00, 0.73     * +0.00, 0.74*     *+0.15*      +0.273
CMS_btag_cferr1                                  +0.00, 0.43     ! -0.00, 0.49!     !-0.22!      -0.272
CMS_res_j                                        +0.00, 0.92        -0.00, 0.93       -0.12      -0.270
prop_binch4_bin4                                 +0.00, 0.95        -0.00, 0.95       +0.11      +0.267
CMS_ttHbb_FSR_ttbarPlusB                         +0.00, 0.91        -0.00, 0.91       -0.12      -0.263
CMS_ttHbb_PDF                                    +0.00, 0.81     * -0.00, 0.81*     *-0.13*      -0.253
CMS_ttHbb_UE_ttbarOther                          +0.00, 0.81     * -0.00, 0.82*     *+0.11*      +0.229
CMS_ttHbb_HDAMP_ttbarPlusCCbar                   +0.00, 0.94        +0.00, 0.94       +0.10      +0.224
CMS_btag_hfstats2                                +0.00, 0.97        -0.00, 0.97       +0.09      +0.224
prop_binch3_bin2                                 +0.00, 0.94        +0.00, 0.94       -0.09      -0.216
CMS_scalePileUpPtEC1_j                           +0.00, 0.95        +0.00, 0.95       -0.09      -0.213
CMS_ttHbb_FSR_ttbarPlus2B                        +0.00, 0.94        -0.00, 0.94       -0.09      -0.200
